Target,Plate,Well,Cellv,Reads
PSMA2_sg2,P05-P05,R03-C02,1.0,2606
PSMA2_sg2,P05-P05,R03-C10,0.0,715
PSMA2_sg2,P05-P05,R03-C04,1.0,2105
PSMA2_sg2,P05-P05,R03-C16,0.0,501
PSMA2_sg2,P05-P05,R03-C06,0.0,421
PSMA2_sg2,P05-P05,R03-C14,1.0,2101
PSMA2_sg2,P05-P05,R13-C22,0.0,284
PSMA2_sg2,P05-P05,R13-C20,0.0,580
PSMA2_sg2,P05-P05,R13-C24,1.0,1908
PSMA2_sg2,P05-P05,R13-C08,0.0,1143
PSMA2_sg2,P05-P05,R13-C18,1.0,3157
PSMA2_sg2,P05-P05,R13-C12,0.0,744
PSMA2_sg2,P05-P05,R13-C02,1.0,1491
PSMA2_sg2,P05-P05,R13-C10,0.0,3325
PSMA2_sg2,P05-P05,R13-C04,0.0,1040
PSMA2_sg2,P05-P05,R13-C16,0.0,1210
PSMA2_sg2,P05-P05,R13-C06,0.0,395
PSMA2_sg2,P05-P05,R13-C14,1.0,1158
PSMA2_sg2,P05-P05,R01-C22,1.0,2145
PSMA2_sg2,P05-P05,R01-C20,0.0,887
PSMA2_sg2,P05-P05,R01-C24,0.0,894
PSMA2_sg2,P05-P05,R01-C08,1.0,588
PSMA2_sg2,P05-P05,R01-C18,1.0,2268
PSMA2_sg2,P05-P05,R01-C12,0.0,2592
PSMA2_sg2,P05-P05,R01-C02,0.0,1175
PSMA2_sg2,P05-P05,R01-C10,1.0,4604
PSMA2_sg2,P05-P05,R01-C04,0.0,521
PSMA2_sg2,P05-P05,R01-C16,1.0,2912
PSMA2_sg2,P05-P05,R01-C06,1.0,2466
PSMA2_sg2,P05-P05,R01-C14,0.0,3368
PSMA2_sg2,P05-P05,R15-C22,0.0,161
PSMA2_sg2,P05-P05,R15-C20,1.0,1704
PSMA2_sg2,P05-P05,R15-C24,0.0,403
PSMA2_sg2,P05-P05,R15-C08,0.0,1081
PSMA2_sg2,P05-P05,R15-C18,0.0,525
PSMA2_sg2,P05-P05,R15-C12,1.0,1620
PSMA2_sg2,P05-P05,R15-C02,1.0,2254
PSMA2_sg2,P05-P05,R15-C10,0.0,403
PSMA2_sg2,P05-P05,R15-C04,1.0,910
PSMA2_sg2,P05-P05,R15-C16,0.0,332
PSMA2_sg2,P05-P05,R15-C06,0.0,379
PSMA2_sg2,P05-P05,R15-C14,1.0,810
PSMA2_sg2,P05-P05,R05-C22,0.0,339
PSMA2_sg2,P05-P05,R05-C20,0.0,1620
PSMA2_sg2,P05-P05,R05-C24,1.0,2670
PSMA2_sg2,P05-P05,R05-C08,0.0,400
PSMA2_sg2,P05-P05,R05-C18,0.0,787
PSMA2_sg2,P05-P05,R05-C12,0.0,2601
PSMA2_sg2,P05-P05,R05-C02,1.0,2472
PSMA2_sg2,P05-P05,R05-C10,0.0,654
PSMA2_sg2,P05-P05,R05-C04,0.0,352
PSMA2_sg2,P05-P05,R05-C16,0.0,521
PSMA2_sg2,P05-P05,R05-C06,1.0,2429
PSMA2_sg2,P05-P05,R05-C14,1.0,3299
PSMA2_sg2,P05-P05,R07-C22,0.0,249
PSMA2_sg2,P05-P05,R07-C20,0.0,1766
PSMA2_sg2,P05-P05,R07-C24,0.0,491
PSMA2_sg2,P05-P05,R07-C08,0.0,268
PSMA2_sg2,P05-P05,R07-C18,1.0,1981
PSMA2_sg2,P05-P05,R07-C12,1.0,2462
PSMA2_sg2,P05-P05,R07-C02,0.0,2026
PSMA2_sg2,P05-P05,R07-C10,0.0,587
PSMA2_sg2,P05-P05,R07-C04,0.0,260
PSMA2_sg2,P05-P05,R07-C16,1.0,890
PSMA2_sg2,P05-P05,R07-C06,0.0,341
PSMA2_sg2,P05-P05,R07-C14,1.0,1955
PSMA2_sg2,P05-P05,R11-C22,1.0,1682
PSMA2_sg2,P05-P05,R11-C20,1.0,1774
PSMA2_sg2,P05-P05,R11-C24,1.0,2327
PSMA2_sg2,P05-P05,R11-C08,1.0,2314
PSMA2_sg2,P05-P05,R11-C18,1.0,3116
PSMA2_sg2,P05-P05,R11-C12,1.0,1826
PSMA2_sg2,P05-P05,R11-C02,1.0,2179
PSMA2_sg2,P05-P05,R11-C10,1.0,2592
PSMA2_sg2,P05-P05,R11-C04,0.0,570
PSMA2_sg2,P05-P05,R11-C16,1.0,2984
PSMA2_sg2,P05-P05,R11-C06,0.0,550
PSMA2_sg2,P05-P05,R11-C14,1.0,2696
PSMA2_sg2,P05-P05,R09-C22,0.0,142
PSMA2_sg2,P05-P05,R09-C20,0.0,362
PSMA2_sg2,P05-P05,R09-C24,1.0,1503
PSMA2_sg2,P05-P05,R09-C08,0.0,170
PSMA2_sg2,P05-P05,R09-C18,0.0,1374
PSMA2_sg2,P05-P05,R09-C12,0.0,1308
PSMA2_sg2,P05-P05,R09-C02,0.0,1003
PSMA2_sg2,P05-P05,R09-C10,0.0,309
PSMA2_sg2,P05-P05,R09-C04,1.0,798
PSMA2_sg2,P05-P05,R09-C16,0.0,262
PSMA2_sg2,P05-P05,R09-C06,1.0,670
PSMA2_sg2,P05-P05,R09-C14,0.0,377
PSMA2_sg2,P06-P06,R01-C22,1.0,1548
PSMA2_sg2,P06-P06,R01-C20,0.0,780
PSMA2_sg2,P06-P06,R01-C24,0.0,792
PSMA2_sg2,P06-P06,R01-C08,1.0,529
PSMA2_sg2,P06-P06,R01-C18,1.0,1757
PSMA2_sg2,P06-P06,R01-C12,0.0,1811
PSMA2_sg2,P06-P06,R01-C02,0.0,997
PSMA2_sg2,P06-P06,R01-C10,1.0,3374
PSMA2_sg2,P06-P06,R01-C04,0.0,463
PSMA2_sg2,P06-P06,R01-C16,1.0,2268
PSMA2_sg2,P06-P06,R01-C06,1.0,1921
PSMA2_sg2,P06-P06,R01-C14,0.0,2429
PSMA2_sg2,P06-P06,R03-C22,0.0,254
PSMA2_sg2,P06-P06,R03-C20,1.0,2206
PSMA2_sg2,P06-P06,R03-C24,1.0,1371
PSMA2_sg2,P06-P06,R03-C08,0.0,328
PSMA2_sg2,P06-P06,R03-C18,1.0,1659
PSMA2_sg2,P06-P06,R03-C12,1.0,1750
PSMA2_sg2,P06-P06,R03-C02,1.0,1958
PSMA2_sg2,P06-P06,R03-C10,0.0,650
PSMA2_sg2,P06-P06,R03-C04,1.0,1515
PSMA2_sg2,P06-P06,R03-C16,0.0,449
PSMA2_sg2,P06-P06,R03-C06,0.0,338
PSMA2_sg2,P06-P06,R03-C14,1.0,1562
PSMA2_sg2,P06-P06,R15-C22,0.0,152
PSMA2_sg2,P06-P06,R15-C20,1.0,1324
PSMA2_sg2,P06-P06,R15-C24,0.0,371
PSMA2_sg2,P06-P06,R15-C08,0.0,782
PSMA2_sg2,P06-P06,R15-C18,0.0,438
PSMA2_sg2,P06-P06,R15-C12,1.0,1186
PSMA2_sg2,P06-P06,R15-C02,1.0,1696
PSMA2_sg2,P06-P06,R15-C10,0.0,362
PSMA2_sg2,P06-P06,R15-C04,1.0,717
PSMA2_sg2,P06-P06,R15-C16,0.0,293
PSMA2_sg2,P06-P06,R15-C06,0.0,275
PSMA2_sg2,P06-P06,R15-C14,1.0,719
PSMA2_sg2,P06-P06,R05-C22,0.0,270
PSMA2_sg2,P06-P06,R05-C20,0.0,1134
PSMA2_sg2,P06-P06,R05-C24,1.0,1910
PSMA2_sg2,P06-P06,R05-C08,0.0,330
PSMA2_sg2,P06-P06,R05-C18,0.0,684
PSMA2_sg2,P06-P06,R05-C12,0.0,1985
PSMA2_sg2,P06-P06,R05-C02,1.0,1842
PSMA2_sg2,P06-P06,R05-C10,0.0,556
PSMA2_sg2,P06-P06,R05-C04,0.0,347
PSMA2_sg2,P06-P06,R05-C16,0.0,447
PSMA2_sg2,P06-P06,R05-C06,1.0,1812
PSMA2_sg2,P06-P06,R05-C14,1.0,2408
PSMA2_sg2,P06-P06,R13-C22,0.0,236
PSMA2_sg2,P06-P06,R13-C20,0.0,530
PSMA2_sg2,P06-P06,R13-C24,1.0,1420
PSMA2_sg2,P06-P06,R13-C08,0.0,858
PSMA2_sg2,P06-P06,R13-C18,1.0,2284
PSMA2_sg2,P06-P06,R13-C12,0.0,651
PSMA2_sg2,P06-P06,R13-C02,1.0,1221
PSMA2_sg2,P06-P06,R13-C10,0.0,2328
PSMA2_sg2,P06-P06,R13-C04,0.0,758
PSMA2_sg2,P06-P06,R13-C16,0.0,1031
PSMA2_sg2,P06-P06,R13-C06,0.0,352
PSMA2_sg2,P06-P06,R13-C14,1.0,893
PSMA2_sg2,P06-P06,R07-C22,0.0,229
PSMA2_sg2,P06-P06,R07-C20,0.0,1359
PSMA2_sg2,P06-P06,R07-C24,0.0,467
PSMA2_sg2,P06-P06,R07-C08,0.0,242
PSMA2_sg2,P06-P06,R07-C18,1.0,1431
PSMA2_sg2,P06-P06,R07-C12,1.0,1891
PSMA2_sg2,P06-P06,R07-C02,0.0,1632
PSMA2_sg2,P06-P06,R07-C10,0.0,495
PSMA2_sg2,P06-P06,R07-C04,0.0,239
PSMA2_sg2,P06-P06,R07-C16,1.0,743
PSMA2_sg2,P06-P06,R07-C06,0.0,294
PSMA2_sg2,P06-P06,R07-C14,1.0,1463
PSMA2_sg2,P06-P06,R09-C22,0.0,141
PSMA2_sg2,P06-P06,R09-C20,0.0,340
PSMA2_sg2,P06-P06,R09-C24,1.0,1134
PSMA2_sg2,P06-P06,R09-C08,0.0,135
PSMA2_sg2,P06-P06,R09-C18,0.0,1135
PSMA2_sg2,P06-P06,R09-C12,0.0,978
PSMA2_sg2,P06-P06,R09-C02,0.0,820
PSMA2_sg2,P06-P06,R09-C10,0.0,285
PSMA2_sg2,P06-P06,R09-C04,1.0,699
PSMA2_sg2,P06-P06,R09-C16,0.0,218
PSMA2_sg2,P06-P06,R09-C06,1.0,507
PSMA2_sg2,P06-P06,R09-C14,0.0,324
PSMA2_sg2,P06-P06,R11-C22,1.0,1280
PSMA2_sg2,P06-P06,R11-C20,1.0,1401
PSMA2_sg2,P06-P06,R11-C24,1.0,1774
PSMA2_sg2,P06-P06,R11-C08,1.0,1820
PSMA2_sg2,P06-P06,R11-C18,1.0,2406
PSMA2_sg2,P06-P06,R11-C12,1.0,1471
PSMA2_sg2,P06-P06,R11-C02,1.0,1664
PSMA2_sg2,P06-P06,R11-C10,1.0,2045
PSMA2_sg2,P06-P06,R11-C16,1.0,2226
PSMA2_sg2,P06-P06,R11-C06,0.0,464
PSMA2_sg2,P06-P06,R11-C14,1.0,2055
PSMA2_sg2,P06-P06,R11-C04,0.0,435
PSMA2_sg2,P07-P07,R01-C22,1.0,1603
PSMA2_sg2,P07-P07,R01-C20,0.0,692
PSMA2_sg2,P07-P07,R01-C24,0.0,780
PSMA2_sg2,P07-P07,R01-C08,1.0,521
PSMA2_sg2,P07-P07,R01-C18,1.0,1813
PSMA2_sg2,P07-P07,R01-C12,0.0,1850
PSMA2_sg2,P07-P07,R01-C02,0.0,1031
PSMA2_sg2,P07-P07,R01-C10,1.0,3352
PSMA2_sg2,P07-P07,R01-C04,0.0,457
PSMA2_sg2,P07-P07,R01-C16,1.0,2170
PSMA2_sg2,P07-P07,R01-C06,1.0,1945
PSMA2_sg2,P07-P07,R01-C14,0.0,2522
PSMA2_sg2,P07-P07,R03-C22,0.0,291
PSMA2_sg2,P07-P07,R03-C20,1.0,2200
PSMA2_sg2,P07-P07,R03-C24,1.0,1393
PSMA2_sg2,P07-P07,R03-C08,0.0,326
PSMA2_sg2,P07-P07,R03-C18,1.0,1830
PSMA2_sg2,P07-P07,R03-C12,1.0,1789
PSMA2_sg2,P07-P07,R03-C02,1.0,1973
PSMA2_sg2,P07-P07,R03-C10,0.0,636
PSMA2_sg2,P07-P07,R03-C04,1.0,1566
PSMA2_sg2,P07-P07,R03-C16,0.0,453
PSMA2_sg2,P07-P07,R03-C06,0.0,374
PSMA2_sg2,P07-P07,R03-C14,1.0,1588
PSMA2_sg2,P07-P07,R15-C22,0.0,175
PSMA2_sg2,P07-P07,R15-C20,1.0,1367
PSMA2_sg2,P07-P07,R15-C24,0.0,389
PSMA2_sg2,P07-P07,R15-C08,0.0,834
PSMA2_sg2,P07-P07,R15-C18,0.0,455
PSMA2_sg2,P07-P07,R15-C12,1.0,1165
PSMA2_sg2,P07-P07,R15-C02,1.0,1698
PSMA2_sg2,P07-P07,R15-C10,0.0,405
PSMA2_sg2,P07-P07,R15-C04,1.0,687
PSMA2_sg2,P07-P07,R15-C16,0.0,282
PSMA2_sg2,P07-P07,R15-C06,0.0,306
PSMA2_sg2,P07-P07,R15-C14,1.0,714
PSMA2_sg2,P07-P07,R05-C22,0.0,294
PSMA2_sg2,P07-P07,R05-C20,0.0,1150
PSMA2_sg2,P07-P07,R05-C24,1.0,1957
PSMA2_sg2,P07-P07,R05-C08,0.0,320
PSMA2_sg2,P07-P07,R05-C18,0.0,738
PSMA2_sg2,P07-P07,R05-C12,0.0,1917
PSMA2_sg2,P07-P07,R05-C02,1.0,1952
PSMA2_sg2,P07-P07,R05-C10,0.0,584
PSMA2_sg2,P07-P07,R05-C04,0.0,333
PSMA2_sg2,P07-P07,R05-C16,0.0,419
PSMA2_sg2,P07-P07,R05-C06,1.0,1795
PSMA2_sg2,P07-P07,R05-C14,1.0,2376
PSMA2_sg2,P07-P07,R13-C22,0.0,276
PSMA2_sg2,P07-P07,R13-C20,0.0,541
PSMA2_sg2,P07-P07,R13-C24,1.0,1509
PSMA2_sg2,P07-P07,R13-C08,0.0,873
PSMA2_sg2,P07-P07,R13-C18,1.0,2244
PSMA2_sg2,P07-P07,R13-C12,0.0,690
PSMA2_sg2,P07-P07,R13-C02,1.0,1199
PSMA2_sg2,P07-P07,R13-C10,0.0,2438
PSMA2_sg2,P07-P07,R13-C04,0.0,750
PSMA2_sg2,P07-P07,R13-C16,0.0,1007
PSMA2_sg2,P07-P07,R13-C06,0.0,310
PSMA2_sg2,P07-P07,R13-C14,1.0,1000
PSMA2_sg2,P07-P07,R07-C22,0.0,230
PSMA2_sg2,P07-P07,R07-C20,0.0,1427
PSMA2_sg2,P07-P07,R07-C24,0.0,483
PSMA2_sg2,P07-P07,R07-C08,0.0,242
PSMA2_sg2,P07-P07,R07-C18,1.0,1497
PSMA2_sg2,P07-P07,R07-C12,1.0,1805
PSMA2_sg2,P07-P07,R07-C02,0.0,1571
PSMA2_sg2,P07-P07,R07-C10,0.0,518
PSMA2_sg2,P07-P07,R07-C04,0.0,241
PSMA2_sg2,P07-P07,R07-C16,1.0,750
PSMA2_sg2,P07-P07,R07-C06,0.0,307
PSMA2_sg2,P07-P07,R07-C14,1.0,1497
PSMA2_sg2,P07-P07,R09-C22,0.0,140
PSMA2_sg2,P07-P07,R09-C20,0.0,345
PSMA2_sg2,P07-P07,R09-C24,1.0,1213
PSMA2_sg2,P07-P07,R09-C08,0.0,148
PSMA2_sg2,P07-P07,R09-C18,0.0,1137
PSMA2_sg2,P07-P07,R09-C12,0.0,1023
PSMA2_sg2,P07-P07,R09-C02,0.0,886
PSMA2_sg2,P07-P07,R09-C10,0.0,313
PSMA2_sg2,P07-P07,R09-C04,1.0,664
PSMA2_sg2,P07-P07,R09-C16,0.0,235
PSMA2_sg2,P07-P07,R09-C06,1.0,560
PSMA2_sg2,P07-P07,R09-C14,0.0,343
PSMA2_sg2,P07-P07,R11-C22,1.0,1213
PSMA2_sg2,P07-P07,R11-C20,1.0,1408
PSMA2_sg2,P07-P07,R11-C24,1.0,1746
PSMA2_sg2,P07-P07,R11-C08,1.0,1725
PSMA2_sg2,P07-P07,R11-C18,1.0,2545
PSMA2_sg2,P07-P07,R11-C12,1.0,1566
PSMA2_sg2,P07-P07,R11-C02,1.0,1743
PSMA2_sg2,P07-P07,R11-C10,1.0,2066
PSMA2_sg2,P07-P07,R11-C04,0.0,468
PSMA2_sg2,P07-P07,R11-C16,1.0,2159
PSMA2_sg2,P07-P07,R11-C06,0.0,523
PSMA2_sg2,P07-P07,R11-C14,1.0,2033
PSMA2_sg1,P01-P01,R13-C22,1.0,3197
PSMA2_sg1,P01-P01,R13-C20,1.0,2793
PSMA2_sg1,P01-P01,R13-C24,0.0,600
PSMA2_sg1,P01-P01,R13-C08,1.0,2250
PSMA2_sg1,P01-P01,R13-C18,0.0,492
PSMA2_sg1,P01-P01,R13-C12,0.0,86
PSMA2_sg1,P01-P01,R13-C02,1.0,1372
PSMA2_sg1,P01-P01,R13-C10,1.0,914
