Target,Plate,Well,Cellv,Reads
PSMA2_sg2,P01-P01,R01-C22,1.0,2293
PSMA2_sg2,P01-P01,R01-C20,0.0,1121
PSMA2_sg2,P01-P01,R01-C24,0.0,1173
PSMA2_sg2,P01-P01,R01-C08,1.0,751
PSMA2_sg2,P01-P01,R01-C18,1.0,2417
PSMA2_sg2,P01-P01,R01-C12,0.0,2862
PSMA2_sg2,P01-P01,R01-C02,0.0,1501
PSMA2_sg2,P01-P01,R01-C10,1.0,4651
PSMA2_sg2,P01-P01,R01-C04,0.0,667
PSMA2_sg2,P01-P01,R01-C16,1.0,3056
PSMA2_sg2,P01-P01,R01-C06,1.0,2662
PSMA2_sg2,P01-P01,R01-C14,0.0,3741
PSMA2_sg2,P01-P01,R03-C22,0.0,457
PSMA2_sg2,P01-P01,R03-C20,1.0,3071
PSMA2_sg2,P01-P01,R03-C24,1.0,2069
PSMA2_sg2,P01-P01,R03-C08,0.0,486
PSMA2_sg2,P01-P01,R03-C18,1.0,2468
PSMA2_sg2,P01-P01,R03-C12,1.0,2480
PSMA2_sg2,P01-P01,R03-C02,1.0,2786
PSMA2_sg2,P01-P01,R03-C10,0.0,868
PSMA2_sg2,P01-P01,R03-C04,1.0,2270
PSMA2_sg2,P01-P01,R03-C16,0.0,689
PSMA2_sg2,P01-P01,R03-C06,0.0,543
PSMA2_sg2,P01-P01,R03-C14,1.0,2672
PSMA2_sg2,P01-P01,R15-C22,0.0,242
PSMA2_sg2,P01-P01,R15-C20,1.0,1850
PSMA2_sg2,P01-P01,R15-C24,0.0,535
PSMA2_sg2,P01-P01,R15-C08,0.0,1237
PSMA2_sg2,P01-P01,R15-C18,0.0,660
PSMA2_sg2,P01-P01,R15-C12,1.0,1711
PSMA2_sg2,P01-P01,R15-C02,1.0,2391
PSMA2_sg2,P01-P01,R15-C10,0.0,531
PSMA2_sg2,P01-P01,R15-C04,1.0,982
PSMA2_sg2,P01-P01,R15-C16,0.0,381
PSMA2_sg2,P01-P01,R15-C06,0.0,425
PSMA2_sg2,P01-P01,R15-C14,1.0,1007
PSMA2_sg2,P01-P01,R05-C22,0.0,423
PSMA2_sg2,P01-P01,R05-C20,0.0,1902
PSMA2_sg2,P01-P01,R05-C24,1.0,2900
PSMA2_sg2,P01-P01,R05-C08,0.0,487
PSMA2_sg2,P01-P01,R05-C18,0.0,1002
PSMA2_sg2,P01-P01,R05-C12,0.0,2659
PSMA2_sg2,P01-P01,R05-C02,1.0,2506
PSMA2_sg2,P01-P01,R05-C10,0.0,858
PSMA2_sg2,P01-P01,R05-C04,0.0,465
PSMA2_sg2,P01-P01,R05-C16,0.0,687
PSMA2_sg2,P01-P01,R05-C06,1.0,2560
PSMA2_sg2,P01-P01,R05-C14,1.0,3322
PSMA2_sg2,P01-P01,R13-C22,0.0,416
PSMA2_sg2,P01-P01,R13-C20,0.0,762
PSMA2_sg2,P01-P01,R13-C24,1.0,2117
PSMA2_sg2,P01-P01,R13-C08,0.0,1233
PSMA2_sg2,P01-P01,R13-C18,1.0,3091
PSMA2_sg2,P01-P01,R13-C12,0.0,853
PSMA2_sg2,P01-P01,R13-C02,1.0,1662
PSMA2_sg2,P01-P01,R13-C10,0.0,3270
PSMA2_sg2,P01-P01,R13-C04,0.0,1233
PSMA2_sg2,P01-P01,R13-C16,0.0,1512
PSMA2_sg2,P01-P01,R13-C06,0.0,504
PSMA2_sg2,P01-P01,R13-C14,1.0,1337
PSMA2_sg2,P01-P01,R11-C22,1.0,1860
PSMA2_sg2,P01-P01,R11-C20,1.0,2102
PSMA2_sg2,P01-P01,R11-C24,1.0,2552
PSMA2_sg2,P01-P01,R11-C08,1.0,2396
PSMA2_sg2,P01-P01,R11-C18,1.0,3374
PSMA2_sg2,P01-P01,R11-C12,1.0,1966
PSMA2_sg2,P01-P01,R11-C02,1.0,2617
PSMA2_sg2,P01-P01,R11-C10,1.0,2717
PSMA2_sg2,P01-P01,R11-C04,0.0,620
PSMA2_sg2,P01-P01,R11-C16,1.0,3145
PSMA2_sg2,P01-P01,R11-C06,0.0,718
PSMA2_sg2,P01-P01,R11-C14,1.0,2965
PSMA2_sg2,P01-P01,R09-C22,0.0,223
PSMA2_sg2,P01-P01,R09-C20,0.0,467
PSMA2_sg2,P01-P01,R09-C24,1.0,1734
PSMA2_sg2,P01-P01,R09-C08,0.0,219
PSMA2_sg2,P01-P01,R09-C18,0.0,1617
PSMA2_sg2,P01-P01,R09-C12,0.0,1490
PSMA2_sg2,P01-P01,R09-C02,0.0,1332
PSMA2_sg2,P01-P01,R09-C10,0.0,431
PSMA2_sg2,P01-P01,R09-C04,1.0,923
PSMA2_sg2,P01-P01,R09-C16,0.0,359
PSMA2_sg2,P01-P01,R09-C06,1.0,764
PSMA2_sg2,P01-P01,R09-C14,0.0,474
PSMA2_sg2,P01-P01,R07-C22,0.0,344
PSMA2_sg2,P01-P01,R07-C20,0.0,1878
PSMA2_sg2,P01-P01,R07-C24,0.0,674
PSMA2_sg2,P01-P01,R07-C08,0.0,339
PSMA2_sg2,P01-P01,R07-C18,1.0,2031
PSMA2_sg2,P01-P01,R07-C12,1.0,2600
PSMA2_sg2,P01-P01,R07-C02,0.0,2118
PSMA2_sg2,P01-P01,R07-C10,0.0,725
PSMA2_sg2,P01-P01,R07-C04,0.0,389
PSMA2_sg2,P01-P01,R07-C16,1.0,1074
PSMA2_sg2,P01-P01,R07-C06,0.0,422
PSMA2_sg2,P01-P01,R07-C14,1.0,2108
PSMA2_sg2,P04-P04,R03-C22,0.0,540
PSMA2_sg2,P04-P04,R03-C20,1.0,4408
PSMA2_sg2,P04-P04,R03-C24,1.0,2773
PSMA2_sg2,P04-P04,R03-C08,0.0,608
PSMA2_sg2,P04-P04,R03-C18,1.0,3447
PSMA2_sg2,P04-P04,R03-C12,1.0,3704
PSMA2_sg2,P04-P04,R03-C02,1.0,4030
PSMA2_sg2,P04-P04,R03-C10,0.0,1202
PSMA2_sg2,P04-P04,R03-C04,1.0,3122
PSMA2_sg2,P04-P04,R03-C16,0.0,864
PSMA2_sg2,P04-P04,R03-C06,0.0,829
PSMA2_sg2,P04-P04,R03-C14,1.0,3463
PSMA2_sg2,P04-P04,R13-C22,0.0,567
PSMA2_sg2,P04-P04,R13-C20,0.0,958
PSMA2_sg2,P04-P04,R13-C24,1.0,3024
PSMA2_sg2,P04-P04,R13-C08,0.0,1692
PSMA2_sg2,P04-P04,R13-C18,1.0,4449
PSMA2_sg2,P04-P04,R13-C12,0.0,1330
PSMA2_sg2,P04-P04,R13-C02,1.0,2429
PSMA2_sg2,P04-P04,R13-C10,0.0,4729
PSMA2_sg2,P04-P04,R13-C04,0.0,1623
PSMA2_sg2,P04-P04,R13-C16,0.0,1963
PSMA2_sg2,P04-P04,R13-C06,0.0,677
PSMA2_sg2,P04-P04,R13-C14,1.0,1946
PSMA2_sg2,P04-P04,R01-C22,1.0,3116
PSMA2_sg2,P04-P04,R01-C20,0.0,1577
PSMA2_sg2,P04-P04,R01-C24,0.0,1570
PSMA2_sg2,P04-P04,R01-C08,1.0,1017
PSMA2_sg2,P04-P04,R01-C18,1.0,3422
PSMA2_sg2,P04-P04,R01-C12,0.0,3994
PSMA2_sg2,P04-P04,R01-C02,0.0,2063
PSMA2_sg2,P04-P04,R01-C10,1.0,6682
PSMA2_sg2,P04-P04,R01-C04,0.0,914
PSMA2_sg2,P04-P04,R01-C16,1.0,4354
PSMA2_sg2,P04-P04,R01-C06,1.0,3691
PSMA2_sg2,P04-P04,R01-C14,0.0,5314
PSMA2_sg2,P04-P04,R15-C22,0.0,370
PSMA2_sg2,P04-P04,R15-C20,1.0,2676
PSMA2_sg2,P04-P04,R15-C24,0.0,707
PSMA2_sg2,P04-P04,R15-C08,0.0,1666
PSMA2_sg2,P04-P04,R15-C18,0.0,897
PSMA2_sg2,P04-P04,R15-C12,1.0,2513
PSMA2_sg2,P04-P04,R15-C02,1.0,3299
PSMA2_sg2,P04-P04,R15-C10,0.0,718
PSMA2_sg2,P04-P04,R15-C04,1.0,1391
PSMA2_sg2,P04-P04,R15-C16,0.0,566
PSMA2_sg2,P04-P04,R15-C06,0.0,552
PSMA2_sg2,P04-P04,R15-C14,1.0,1343
PSMA2_sg2,P04-P04,R05-C22,0.0,598
PSMA2_sg2,P04-P04,R05-C20,0.0,2606
PSMA2_sg2,P04-P04,R05-C24,1.0,4097
PSMA2_sg2,P04-P04,R05-C08,0.0,692
PSMA2_sg2,P04-P04,R05-C18,0.0,1353
PSMA2_sg2,P04-P04,R05-C12,0.0,3834
PSMA2_sg2,P04-P04,R05-C02,1.0,3735
PSMA2_sg2,P04-P04,R05-C10,0.0,1174
PSMA2_sg2,P04-P04,R05-C04,0.0,633
PSMA2_sg2,P04-P04,R05-C16,0.0,905
PSMA2_sg2,P04-P04,R05-C06,1.0,3487
PSMA2_sg2,P04-P04,R05-C14,1.0,4789
PSMA2_sg2,P04-P04,R07-C22,0.0,415
PSMA2_sg2,P04-P04,R07-C20,0.0,2754
PSMA2_sg2,P04-P04,R07-C24,0.0,915
PSMA2_sg2,P04-P04,R07-C08,0.0,455
PSMA2_sg2,P04-P04,R07-C18,1.0,2973
PSMA2_sg2,P04-P04,R07-C12,1.0,3780
PSMA2_sg2,P04-P04,R07-C02,0.0,2941
PSMA2_sg2,P04-P04,R07-C10,0.0,939
PSMA2_sg2,P04-P04,R07-C04,0.0,467
PSMA2_sg2,P04-P04,R07-C16,1.0,1449
PSMA2_sg2,P04-P04,R07-C06,0.0,601
PSMA2_sg2,P04-P04,R07-C14,1.0,2884
PSMA2_sg2,P04-P04,R11-C22,1.0,2555
PSMA2_sg2,P04-P04,R11-C20,1.0,2829
PSMA2_sg2,P04-P04,R11-C24,1.0,3600
PSMA2_sg2,P04-P04,R11-C08,1.0,3495
PSMA2_sg2,P04-P04,R11-C18,1.0,4879
PSMA2_sg2,P04-P04,R11-C12,1.0,3007
PSMA2_sg2,P04-P04,R11-C02,1.0,3494
PSMA2_sg2,P04-P04,R11-C10,1.0,4042
PSMA2_sg2,P04-P04,R11-C04,0.0,875
PSMA2_sg2,P04-P04,R11-C16,1.0,4337
PSMA2_sg2,P04-P04,R11-C06,0.0,988
PSMA2_sg2,P04-P04,R11-C14,1.0,4472
PSMA2_sg2,P04-P04,R09-C22,0.0,257
PSMA2_sg2,P04-P04,R09-C20,0.0,686
PSMA2_sg2,P04-P04,R09-C24,1.0,2429
PSMA2_sg2,P04-P04,R09-C08,0.0,308
PSMA2_sg2,P04-P04,R09-C18,0.0,2433
PSMA2_sg2,P04-P04,R09-C12,0.0,2067
PSMA2_sg2,P04-P04,R09-C02,0.0,1744
PSMA2_sg2,P04-P04,R09-C10,0.0,596
PSMA2_sg2,P04-P04,R09-C04,1.0,1304
PSMA2_sg2,P04-P04,R09-C16,0.0,488
PSMA2_sg2,P04-P04,R09-C06,1.0,1093
PSMA2_sg2,P04-P04,R09-C14,0.0,681
PSMA2_sg2,P05-P05,R03-C22,0.0,311
PSMA2_sg2,P05-P05,R03-C20,1.0,2949
PSMA2_sg2,P05-P05,R03-C24,1.0,1775
PSMA2_sg2,P05-P05,R03-C08,0.0,361
PSMA2_sg2,P05-P05,R03-C18,1.0,2177
PSMA2_sg2,P05-P05,R03-C12,1.0,2320
