SampleID,Ratio,SE,ORDER
R11-C10_(profile#1),78.4,2.57681974535,-134
R11-C10_(profile#347),11.5,0.5,-135
R11-C12_______________________________________________________,0,0,-136
R11-C12_(profile#1),89.6,1.74355957742,-137
R11-C14_______________________________________________________,0,0,-138
R11-C14_(profile#1),89.6,3.87814388593,-139
R11-C16_______________________________________________________,0,0,-140
R11-C16_(profile#1),92.0,1.788854382,-141
R11-C18_______________________________________________________,0,0,-142
R11-C18_(profile#1),90.2,2.4,-143
R11-C20_______________________________________________________,0,0,-144
R11-C20_(profile#1),92.2,0.979795897113,-145
R11-C22_______________________________________________________,0,0,-146
R11-C22_(profile#1),89.2,2.31516738056,-147
R11-C24_______________________________________________________,0,0,-148
R11-C24_(profile#1),89.0,1.8973665961,-149
R13-C02_______________________________________________________,0,0,-150
R13-C02_(profile#1),90.0,1.788854382,-151
R13-C04_______________________________________________________,0,0,-152
R13-C04_(profile#1),91.0,1.41421356237,-153
R13-C06_______________________________________________________,0,0,-154
R13-C06_(profile#1),86.4,3.26190128606,-155
R13-C08_______________________________________________________,0,0,-156
R13-C08_(profile#1),89.4,1.35646599663,-157
R13-C10_______________________________________________________,0,0,-158
R13-C10_(profile#1),89.6,3.61109401705,-159
R13-C12_______________________________________________________,0,0,-160
R13-C12_(profile#1),75.4,2.93938769134,-161
R13-C14_______________________________________________________,0,0,-162
R13-C14_(profile#1),41.8,4.11825205639,-163
R13-C14_(profile#417),44.8,2.4,-164
R13-C16_______________________________________________________,0,0,-165
R13-C16_(profile#1),90.8,2.22710574513,-166
R13-C18_______________________________________________________,0,0,-167
R13-C18_(profile#1),91.4,2.57681974535,-168
R13-C20_______________________________________________________,0,0,-169
R13-C20_(profile#1),87.2,1.72046505341,-170
R13-C22_______________________________________________________,0,0,-171
R13-C22_(profile#1),66.0,3.40587727319,-172
R13-C22_(profile#444),12.5,0.5,-173
R13-C24_______________________________________________________,0,0,-174
R13-C24_(profile#1),91.0,1.41421356237,-175
R15-C02_______________________________________________________,0,0,-176
R15-C02_(profile#1),85.4,1.8547236991,-177
R15-C04_______________________________________________________,0,0,-178
R15-C04_(profile#1),31.8,3.05941170816,-179
R15-C04_(profile#458),37.6,3.26190128606,-180
R15-C04_(profile#460),20.0,2.09761769634,-181
R15-C06_______________________________________________________,0,0,-182
R15-C06_(profile#1),89.2,3.6551333765,-183
R15-C08_______________________________________________________,0,0,-184
R15-C08_(profile#1),90.2,2.4819347292,-185
R15-C10_______________________________________________________,0,0,-186
R15-C10_(profile#1),89.8,1.16619037897,-187
R15-C12_______________________________________________________,0,0,-188
R15-C12_(profile#1),77.4,2.24499443206,-189
R15-C14_______________________________________________________,0,0,-190
R15-C14_(profile#1),88.6,4.17612260356,-191
R15-C16_______________________________________________________,0,0,-192
R15-C16_(profile#1),91.6,1.62480768093,-193
R15-C18_______________________________________________________,0,0,-194
R15-C18_(profile#1),92.6,3.55527776693,-195
R15-C20_______________________________________________________,0,0,-196
R15-C20_(profile#1),88.4,2.93938769134,-197
R15-C22_______________________________________________________,0,0,-198
R15-C22_(profile#1),87.2,1.16619037897,-199
R15-C24_______________________________________________________,0,0,-200
R15-C24_(profile#1),93.6,2.57681974535,-201
